,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
19,2021-08-27,sh.600010,24.0643565000,24.7108616000,23.0586819000,23.8488548000,23.7770209000,2027969360,6755815799.2800,1,6.402000,1,0.302100,49.038057,2.716535,2.139097,115.294920,0
20,2021-08-30,sh.600010,24.2080243000,25.5010345000,23.7051870000,24.5671938000,23.8488548000,2104067872,7173434898.3600,1,6.642200,1,3.012000,50.515107,2.798359,2.203528,118.767659,0
21,2021-08-31,sh.600010,24.2080243000,27.0095464000,24.1361904000,27.0095464000,24.5671938000,1550756016,5631181415.0700,1,4.895500,1,9.941500,55.537076,3.076558,2.422592,130.574970,0
0,2021-08-02,sh.600011,14.6969011300,15.3492440000,14.5817818000,15.1957515600,14.6969011300,71756473,280805965.8700,1,0.652500,1,3.394300,19.957391,0.851222,0.335288,-47.678836,0
1,2021-08-03,sh.600011,15.1573784500,15.3108708900,15.0422591200,15.2724977800,15.1957515600,36479996,144207907.3500,1,0.331700,1,0.505100,20.058186,0.855521,0.336982,-47.919638,0
2,2021-08-04,sh.600011,15.2341246700,15.3876171100,15.1190053400,15.2341246700,15.2724977800,23643119,93887663.2700,1,0.215000,1,-0.251300,20.007788,0.853372,0.336135,-47.799237,0
3,2021-08-05,sh.600011,15.1957515600,15.2724977800,15.0422591200,15.1957515600,15.2341246700,23603943,93262221.5900,1,0.214600,1,-0.251900,19.957391,0.851222,0.335288,-47.678836,0
4,2021-08-06,sh.600011,15.1957515600,15.3492440000,15.0422591200,15.2724977800,15.1957515600,23387388,92864550.3600,1,0.212700,1,0.505100,20.058186,0.855521,0.336982,-47.919638,0
5,2021-08-09,sh.600011,15.2724977800,15.3492440000,15.1573784500,15.1957515600,15.2724977800,22628209,89935823.7300,1,0.205800,1,-0.502500,19.957391,0.851222,0.335288,-47.678836,0
6,2021-08-10,sh.600011,15.1957515600,15.2341246700,15.0038860100,15.1190053400,15.1957515600,24334600,95754018.0000,1,0.221300,1,-0.505100,19.856596,0.846923,0.333595,-47.438034,0
7,2021-08-11,sh.600011,15.1190053400,15.4259902200,15.1190053400,15.4259902200,15.1190053400,47203387,188348800.8700,1,0.429200,1,2.030500,20.259775,0.864119,0.340369,-48.401243,0
8,2021-08-12,sh.600011,15.4643633300,15.5027364400,15.2724977800,15.3492440000,15.4259902200,22341186,89409225.3400,1,0.203100,1,-0.497500,20.158981,0.859820,0.338675,-48.160441,0
9,2021-08-13,sh.600011,15.3492440000,15.4643633300,15.2341246700,15.4259902200,15.3492440000,30380329,121509762.5600,1,0.276200,1,0.500000,20.259775,0.864119,0.340369,-48.401243,0
10,2021-08-16,sh.600011,15.3876171100,16.0399599800,15.3492440000,15.8864675400,15.4259902200,58827929,242535474.2300,1,0.534900,1,2.985100,20.864545,0.889914,0.350529,-49.846056,0
11,2021-08-17,sh.600011,15.8480944300,16.0015868700,15.4643633300,15.5411095500,15.8864675400,40105652,164168550.3300,1,0.364700,1,-2.173900,20.410968,0.870568,0.342909,-48.762446,0
12,2021-08-18,sh.600011,15.5027364400,16.2701986400,15.5027364400,16.2318255300,15.5411095500,78126286,325958757.9900,1,0.710400,1,4.444400,21.318122,0.909260,0.358149,-50.929666,0
13,2021-08-19,sh.600011,16.2701986400,17.8434961500,16.2701986400,17.8434961500,16.2318255300,282033088,1280636494.9100,1,2.564500,1,9.929100,23.434815,0.999541,0.393710,-55.986512,0
14,2021-08-20,sh.600011,17.5748843800,18.6109583500,17.0376608400,18.2272272500,17.8434961500,221337154,1036024101.8000,1,2.012600,1,2.150500,23.938789,1.021037,0.402177,-57.190523,0
15,2021-08-23,sh.600011,19.0714356700,20.0691365300,19.0714356700,20.0691365300,18.2272272500,127011932,657177890.8800,1,1.154900,1,10.105300,26.357867,1.124215,0.442818,-62.969776,0
16,2021-08-24,sh.600011,20.6831062900,21.0668373900,19.5702861000,19.9540172000,20.0691365300,222349341,1169262109.5800,1,2.021800,1,-0.573600,26.206675,1.117766,0.440278,-62.608573,0
17,2021-08-25,sh.600011,19.6854054300,21.0284642800,19.2249281100,20.5296138500,19.9540172000,165327538,876219564.3900,1,1.503300,1,2.884600,26.962636,1.150010,0.452978,-64.414589,0
18,2021-08-26,sh.600011,20.2993751900,20.7598525100,19.8005247600,19.9540172000,20.5296138500,122914102,644696275.9100,1,1.117600,1,-2.803700,26.206675,1.117766,0.440278,-62.608573,0
19,2021-08-27,sh.600011,20.0691365300,20.5296138500,19.5702861000,19.9540172000,19.9540172000,104133448,542178332.6000,1,0.946900,1,0.000000,26.206675,1.117766,0.440278,-62.608573,0
20,2021-08-30,sh.600011,19.7237785400,20.8365987300,19.2633012200,20.4144945200,19.9540172000,126647765,666028495.0500,1,1.151600,1,2.307700,26.811444,1.143561,0.450438,-64.053386,0
21,2021-08-31,sh.600011,20.1842558600,21.7191802600,19.8772709800,21.2970760500,20.4144945200,132943211,721610321.4500,1,1.208800,1,4.323300,27.970585,1.193001,0.469912,-66.822611,0
0,2021-08-02,sh.600015,20.2228470900,20.6295222600,20.0749652100,20.5186108500,20.2598175600,20303993,112029798.2600,1,0.158300,1,1.277400,3.919187,0.378878,0.895864,131.992416,0
1,2021-08-03,sh.600015,20.4076994400,20.4816403800,20.2967880300,20.3707289700,20.5186108500,14767610,81398708.1900,1,0.115200,1,-0.720700,3.890941,0.376147,0.889407,131.041119,0
